title,company,requirement,salary,technical_skill,location,working_time,image_url,job_url
Mobile Developer (React Native),Source of Asia (SOA),,Negotiable,"['rest api', 'react native', 'ios', 'android', 'typescript', 'javascript', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12905.png,https://nodeflair.com/jobs/source-of-asia-soa-mobile-developer-react-native-193614?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Back-End Developer (Python & Django),Wow AI,,Negotiable,"['tensorflow', 'rest api', 'docker', 'api', 'pytorch', 'git', 'javascript', 'flask', 'react', 'django', 'python', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12538.png,https://nodeflair.com/jobs/wow-ai-back-end-developer-python-django-193613?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Golang Developer (English Speaking),VMO Holdings,,Negotiable,"['go', 'git', 'html', 'javascript', 'sql', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9280.png,https://nodeflair.com/jobs/vmo-holdings-golang-developer-english-speaking-193612?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Zalo,,Negotiable,"['analytics', 'apache', 'java', 'spark', 'scala', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9246.png,https://nodeflair.com/jobs/zalo-data-engineer-193611?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Software Engineer (ReactJS),Confidental,,Negotiable,"['api', 'analytics', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/16908.png,https://nodeflair.com/jobs/confidental-software-engineer-reactjs-193610?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mid or Senior .Net Developer,Silicon Stack,,Negotiable,"['less', 'mssql', 'html', 'javascript', 'sql', 'c#', 'net', 'mysql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7783.png,https://nodeflair.com/jobs/silicon-stack-mid-or-senior-net-developer-193609?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Backend Developer (Golang),Hello Health,,Negotiable,"['gitlab', 'rest api', 'docker', 'go', 'api', 'ci', 'grpc', 'git', 'nosql', 'kubernetes', 'javascript', 'sql', 'postgresql', 'graphql', 'php', 'mysql', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14902.png,https://nodeflair.com/jobs/hello-health-senior-backend-developer-golang-193608?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Dotnet Developer,Diksha Teknologies,,Negotiable,"['rpc', 'visual studio', 'git', 'azure', 'mssql', 'html', 'aspnet', 'bootstrap', 'javascript', 'sql', 'c#', 'net', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/17484.png,https://nodeflair.com/jobs/diksha-teknologies-dotnet-developer-193607?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior QA Engineer (Manual/Automation),Simple Tech Investment,,Negotiable,"['selenium', 'api', 'testrail', 'ci', 'testng', 'java', 'appium', 'javascript', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9315.png,https://nodeflair.com/jobs/simple-tech-investment-senior-qa-engineer-manual-automation-193666?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Software Developer (ReactJS, Java )",MEDRiNG,,Negotiable,"['rest api', 'api', 'spring', 'java', 'typescript', 'javascript', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7717.png,https://nodeflair.com/jobs/medring-software-developer-reactjs-java-193671?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Fullstack Developer (English Good),PowerGate Software,,Negotiable,"['rest api', 'api', 'c', 'nodejs', 'net', 'php', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9220.png,https://nodeflair.com/jobs/powergate-software-senior-fullstack-developer-english-good-193670?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Product Owner ( Mobile App ),iKame,,Negotiable,['firebase'],Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12504.png,https://nodeflair.com/jobs/ikame-product-owner-mobile-app-193480?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Annam Group,,Negotiable,"['etl', 'analytics', 'google cloud', 'azure', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/13000.png,https://nodeflair.com/jobs/annam-group-data-engineer-193474?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer,DataHouse,,Negotiable,"['rds', 'amazon s3', 'aws', 'play', 'rhel', 'analytics', 'message queue', 'essage queue', 'elastic', 'cognito', 'ci', 'r', 'ubuntu', 'ec2', 'redshift', 'apache', 'logstash', 'orm', 'kibana', 'grafana', 'html', 'linux', 'nosql', 'javascript', 'sql', 'postgresql', 'redis', 'react', 'mongodb', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22479.png,https://nodeflair.com/jobs/datahouse-full-stack-engineer-193473?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Web Developer - Level Junior to Mid-level (Python, Reactjs)",GKIM Digital,,Negotiable,"['aws', 'rest api', 'api', 'react router', 'dom', 'git', 'azure', 'html', 'redux', 'javascript', 'flask', 'react', 'django', 'python', 'css', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9306.png,https://nodeflair.com/jobs/gkim-digital-web-developer-level-junior-to-mid-level-python-reactjs-193472?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Developer,Nichietsu Vietnam,,Negotiable,"['mvc', 'rest api', 'orm', 'aspnet', 'nodejs', 'net', 'graphql', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/10008.png,https://nodeflair.com/jobs/nichietsu-vietnam-fullstack-developer-193471?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer,Ataccama,,Negotiable,"['gitlab', 'snowflake', 'aws', 'play', 'gitlab ci', 'spring', 'message queue', 'essage queue', 'elastic', 'ci', 'aks', 'aurora', 'redshift', 'helm', 'rabbitmq', 'apollo', 'azure', 'java', 'spark', 'kubernetes', 'springboot', 'typescript', 'kotlin', 'postgresql', 'graphql', 'react', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14462.png,https://nodeflair.com/jobs/ataccama-senior-software-engineer-193470?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Data Engineer,Gene Solutions,,Negotiable,"['etl', 'graph', 'gitlab', 'aws', 'docker', 'jenkins', 'api', 'ci', 'spark', 'html', 'javascript', 'flask', 'sql', 'nodejs', 'postgresql', 'hadoop', 'mysql', 'elasticsearch', 'redis', 'react', 'django', 'python', 'css', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14846.png,https://nodeflair.com/jobs/gene-solutions-senior-data-engineer-193469?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist,Vega,,Negotiable,"['r', 'pyspark', 'spark', 'scala', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12486.png,https://nodeflair.com/jobs/vega-data-scientist-193468?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer (Python - Cool Salary),Larion,,Negotiable,"['jupyter', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/5009.png,https://nodeflair.com/jobs/larion-data-engineer-python-cool-salary-193467?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Full Stack Engineer 1 (FE focused),Dikshatek,,Negotiable,"['aws', 'rest api', 'docker', 'go', 'play', 'google cloud', 'svelte', 'nats', 'rust', 'postman', 'mocha', 'git', 'jest', 'azure', 'java', 'junit', 'html', 'nosql', 'kubernetes', 'kafka', 'typescript', 'javascript', 'postgresql', 'graphql', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22026.png,https://nodeflair.com/jobs/dikshatek-senior-full-stack-engineer-1-fe-focused-193466?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Fullstack Developer,FTech,,Negotiable,"['mvc', 'nextjs', 'aws', 'rest api', 'docker', 'ubuntu', 'oop', 'git', 'azure', 'javascript', 'mysql', 'react', 'mongodb', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8449.png,https://nodeflair.com/jobs/ftech-senior-fullstack-developer-193482?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Hn_Automotive Android App Developers,Bosch,,Negotiable,"['svn', 'jenkins', 'hal', 'ci', 'git', 'java', 'linux', 'android', 'kotlin']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/141.png,https://nodeflair.com/jobs/bosch-hn_automotive-android-app-developers-193479?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Developer,DSOFT,,Negotiable,"['rest api', 'api', 'ios sdk', 'play', 'alamofire', 'firebase', 'rxjava', 'oop', 'git', 'java', 'react native', 'ios', 'android', 'swift', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/13361.png,https://nodeflair.com/jobs/dsoft-mobile-developer-193495?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Flutter Developer (Từ 4 Năm Kinh Nghiệm),VMO Holdings,,Negotiable,"['flux', 'rest api', 'play', 'android studio', 'web token', 'mode', 'flutter', 'redux', 'ios', 'android', 'json', 'graphql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9280.png,https://nodeflair.com/jobs/vmo-holdings-flutter-developer-t-4-nam-kinh-nghi-m-193488?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,FPT,,Negotiable,"['etl', 'spark', 'linux', 'sql', 'hadoop', 'python', 'openstack']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-engineer-193492?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Data Analyst (Senior, Junior)",FPT,,Negotiable,"['sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-analyst-senior-junior-193491?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Analyst,FTech,,Negotiable,"['analytics', 'r', 'powerbi', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8449.png,https://nodeflair.com/jobs/ftech-data-analyst-193484?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fresher Fullstack C#/.Net Developer,FPT,,Negotiable,"['mvc', 'aws', 'entity', 'microsoft sql server', 't sql', 'microsoft', 'html', 'aspnet', 'angular', 'javascript', 'sql', 'ajax', 'c#', 'jquery', 'net', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-fresher-fullstack-c-net-developer-193496?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
QA Lead,BIPLUS SOFTWARE,,Negotiable,[],Vietnam,Full-time,https://nodeflair.com/api/v2/companies/10171.png,https://nodeflair.com/jobs/biplus-software-qa-lead-193497?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
